Pais ,Liga ,Temporada ,Fecha,Hora,Local (A),Visitante (A),Goles Local,Goles Visit,Resultado
Mexico,Liga MX,2013/2014,16/02/2014,01:00,Pachuca,Atlante,0,1,A
Mexico,Liga MX,2013/2014,16/02/2014,03:00,Chiapas,U.A.N.L.- Tigres,0,0,D
Mexico,Liga MX,2013/2014,16/02/2014,18:00,U.N.A.M.- Pumas,Atlas,1,1,D
Mexico,Liga MX,2013/2014,16/02/2014,23:00,Guadalajara Chivas,Queretaro,2,1,H
Mexico,Liga MX,2013/2014,22/02/2014,01:30,Queretaro,Cruz Azul,1,3,A
Mexico,Liga MX,2013/2014,22/02/2014,03:30,Club Tijuana,Chiapas,0,3,A
Mexico,Liga MX,2013/2014,22/02/2014,23:00,Club America,U.N.A.M.- Pumas,1,3,A
Mexico,Liga MX,2013/2014,23/02/2014,01:00,Pachuca,Monarcas,3,0,H
Mexico,Liga MX,2013/2014,23/02/2014,01:00,U.A.N.L.- Tigres,Veracruz,1,0,H
Mexico,Liga MX,2013/2014,23/02/2014,02:06,Club Leon,Santos Laguna,4,2,H
Mexico,Liga MX,2013/2014,23/02/2014,03:00,Atlas,Monterrey,0,1,A
Mexico,Liga MX,2013/2014,23/02/2014,18:00,Toluca,Guadalajara Chivas,1,0,H
Mexico,Liga MX,2013/2014,23/02/2014,23:00,Atlante,Puebla,0,0,D
Mexico,Liga MX,2013/2014,01/03/2014,01:30,Monarcas,Atlante,1,2,A
Mexico,Liga MX,2013/2014,01/03/2014,03:30,Santos Laguna,Atlas,2,3,A
Mexico,Liga MX,2013/2014,01/03/2014,23:00,Cruz Azul,Toluca,1,0,H
Mexico,Liga MX,2013/2014,01/03/2014,23:00,Veracruz,Club Tijuana,1,1,D
Mexico,Liga MX,2013/2014,02/03/2014,01:00,Monterrey,Club America,1,2,A
Mexico,Liga MX,2013/2014,02/03/2014,03:00,Chiapas,Club Leon,0,3,A
Mexico,Liga MX,2013/2014,02/03/2014,18:00,Puebla,Queretaro,1,0,H
Mexico,Liga MX,2013/2014,02/03/2014,18:00,U.N.A.M.- Pumas,Pachuca,0,0,D
Mexico,Liga MX,2013/2014,02/03/2014,23:00,Guadalajara Chivas,U.A.N.L.- Tigres,0,0,D
Mexico,Liga MX,2013/2014,08/03/2014,01:30,Monarcas,U.N.A.M.- Pumas,3,1,H
Mexico,Liga MX,2013/2014,08/03/2014,02:06,Club Leon,Veracruz,0,1,A
Mexico,Liga MX,2013/2014,08/03/2014,02:30,Toluca,Puebla,3,0,H
Mexico,Liga MX,2013/2014,08/03/2014,03:30,Club Tijuana,Guadalajara Chivas,2,0,H
Mexico,Liga MX,2013/2014,08/03/2014,23:00,Club America,Santos Laguna,2,4,A
Mexico,Liga MX,2013/2014,09/03/2014,01:00,Pachuca,Monterrey,2,0,H
Mexico,Liga MX,2013/2014,09/03/2014,01:00,U.A.N.L.- Tigres,Cruz Azul,3,0,H
Mexico,Liga MX,2013/2014,09/03/2014,03:00,Atlas,Chiapas,2,2,D
Mexico,Liga MX,2013/2014,09/03/2014,23:00,Atlante,Queretaro,4,2,H
Mexico,Liga MX,2013/2014,15/03/2014,01:30,Queretaro,Toluca,0,2,A
Mexico,Liga MX,2013/2014,15/03/2014,23:00,Cruz Azul,Club Tijuana,2,1,H
Mexico,Liga MX,2013/2014,15/03/2014,23:00,Veracruz,Atlas,0,1,A
Mexico,Liga MX,2013/2014,16/03/2014,01:00,Monterrey,Monarcas,0,1,A
Mexico,Liga MX,2013/2014,16/03/2014,01:00,Santos Laguna,Pachuca,3,1,H
Mexico,Liga MX,2013/2014,16/03/2014,03:00,Chiapas,Club America,2,2,D
Mexico,Liga MX,2013/2014,16/03/2014,18:00,Puebla,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2013/2014,16/03/2014,18:00,U.N.A.M.- Pumas,Atlante,5,0,H
Mexico,Liga MX,2013/2014,16/03/2014,23:00,Guadalajara Chivas,Club Leon,1,0,H
Mexico,Liga MX,2013/2014,22/03/2014,01:30,Monarcas,Santos Laguna,2,2,D
Mexico,Liga MX,2013/2014,22/03/2014,02:30,Club Tijuana,Puebla,3,1,H
Mexico,Liga MX,2013/2014,22/03/2014,23:00,Club America,Veracruz,0,0,D
Mexico,Liga MX,2013/2014,23/03/2014,01:00,Pachuca,Chiapas,2,0,H
Mexico,Liga MX,2013/2014,23/03/2014,01:00,U.A.N.L.- Tigres,Queretaro,0,2,A
Mexico,Liga MX,2013/2014,23/03/2014,02:06,Club Leon,Cruz Azul,0,0,D
Mexico,Liga MX,2013/2014,23/03/2014,03:00,Atlas,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2013/2014,23/03/2014,18:00,U.N.A.M.- Pumas,Monterrey,1,2,A
Mexico,Liga MX,2013/2014,23/03/2014,23:00,Atlante,Toluca,2,1,H
Mexico,Liga MX,2013/2014,29/03/2014,01:30,Queretaro,Club Tijuana,2,1,H
Mexico,Liga MX,2013/2014,29/03/2014,03:30,Santos Laguna,U.N.A.M.- Pumas,2,1,H
Mexico,Liga MX,2013/2014,29/03/2014,23:00,Cruz Azul,Atlas,1,3,A
Mexico,Liga MX,2013/2014,29/03/2014,23:00,Veracruz,Pachuca,3,1,H
Mexico,Liga MX,2013/2014,30/03/2014,02:00,Monterrey,Atlante,3,2,H
Mexico,Liga MX,2013/2014,30/03/2014,02:00,Toluca,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2013/2014,30/03/2014,04:00,Chiapas,Monarcas,1,0,H
Mexico,Liga MX,2013/2014,30/03/2014,19:00,Puebla,Club Leon,1,1,D
